	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
gldA	565	713	178	249	409	672	110	298	18	20	5	12
glf	1268	1744	3209	2541	1012	1549	2315	4659	8	13	5	0
glgA	2405	3414	718	794	1672	2815	520	1251	66	96	25	20
glgB	6375	7112	2392	2740	4352	6391	1512	3029	62	88	19	20
glgC	5761	6949	1490	1736	3690	5832	872	2042	110	170	36	34
glgP	2712	4153	799	865	1761	3673	513	1645	125	194	45	41
glgS	249	215	84	76	206	273	74	156	2	8	2	2
glgX	3129	3873	1210	1247	2185	3409	799	1671	53	90	23	14
glk	2126	2239	1773	1971	1536	1925	1049	1739	7	13	5	8
glmM	1887	2296	1890	1938	1369	2028	1263	3045	42	38	11	7
glmS	4189	6269	14802	12236	2707	6054	8861	30580	143	77	27	31
glmU	2687	3196	5117	4454	1601	2987	3306	9870	41	42	14	15
glmY	73	96	165	111	108	108	118	316	17	30	24	14
glmZ	19589	17853	50631	41102	16678	18850	44769	47850	85	18	15	21
glnA	5118	5519	7492	7408	3011	4356	4314	9435	72	61	20	14
glnB	45	63	90	107	50	84	59	153	0	3	2	2
glnD	345	554	431	447	235	445	261	652	5	9	2	1
glnE	1711	2216	1410	1700	1174	1645	930	1680	15	45	11	5
glnG	312	452	329	278	245	316	237	486	6	12	0	2
glnH	7760	8543	4752	4735	5696	8912	3320	6712	39	30	15	15
glnK	10	8	4	3	12	9	4	6	0	0	0	0
glnL	173	209	163	187	131	195	154	317	4	10	1	4
glnP	610	652	1128	1014	419	575	666	1478	9	4	1	2
glnQ	441	471	939	875	282	384	514	1376	12	6	3	2
glnS	524	725	1211	1064	421	620	911	2713	26	31	11	16
glnU	1416	1587	1139	3146	1958	1903	759	3156	1053	1424	873	676
glnV	2237	2411	1705	4261	2906	2720	982	4627	1032	1665	1116	413
glnW	1267	1519	1005	2963	1800	1673	728	3069	835	1200	860	657
glnX	2829	2880	1955	4922	3608	3148	1278	5632	1628	2080	1568	605
glnZ	139751	117248	112007	112208	101731	114407	36980	74549	84	32	27	44
gloA	1103	1071	1424	1151	978	1116	755	1469	8	8	6	2
gloB	1882	1711	2080	1717	1605	1859	1581	2188	5	2	1	2
gloC	704	841	1159	991	561	809	677	1802	16	17	6	7
glpA	28803	34083	17864	23491	20815	29764	9618	23464	630	1381	327	228
glpB	17950	21086	8560	11159	13864	19367	3680	10556	338	695	158	106
glpC	17881	22977	7479	8883	14528	20963	3157	9335	282	558	151	124
glpD	22115	26964	25282	28799	15599	23840	17541	44665	430	515	180	155
glpE	103	101	319	179	98	102	182	396	3	1	0	0
glpF	11776	10804	12210	11457	7980	8828	8517	14826	74	79	22	19
glpG	340	360	923	738	277	368	599	961	4	6	1	2
glpK	51237	61247	41548	44712	28701	43978	24638	62767	518	551	129	178
glpQ	14337	21515	12644	13087	9992	18522	6964	22474	359	617	136	135
glpR	154	240	501	350	111	187	360	874	6	5	0	0
glpT	61496	62793	46109	50570	49682	57948	27122	53590	478	750	206	145
