	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
yghA	189	277	48	64	124	245	38	89	1	1	4	0
yghB	2934	3012	3211	2665	3032	3120	1860	2577	12	19	3	9
yghD	10	8	18	20	6	4	26	29	0	0	0	0
yghE	1	1	4	3	3	1	6	4	0	0	0	0
yghF	0	0	4	4	1	3	6	7	0	0	0	0
yghG	2	0	4	2	0	1	3	7	0	0	0	0
yghJ	352	508	408	352	322	457	369	568	5	8	2	1
yghO	2	3	2	3	5	2	3	7	0	0	0	0
yghQ	8	5	6	10	8	5	12	4	0	0	1	0
yghR	11	12	9	7	6	9	6	10	0	0	0	0
yghS	0	0	3	0	3	1	1	5	0	0	0	0
yghT	2	3	6	10	4	6	8	9	0	0	0	0
yghU	385	507	253	277	274	387	152	357	12	14	12	1
yghW	3	5	6	1	1	1	4	3	0	0	0	0
yghX	26	43	15	7	22	29	6	19	0	0	0	0
ygiA	366	518	598	545	277	402	387	960	5	10	6	5
ygiB	731	1125	1143	1116	531	874	754	1896	13	21	9	9
ygiC	926	1456	1308	1342	583	1252	765	2639	43	39	20	12
ygiD	42	34	39	24	38	41	22	42	0	1	0	0
ygiF	451	610	472	458	264	429	310	674	5	13	6	4
ygiL	8	10	18	8	9	9	6	25	0	0	0	0
ygiM	250	228	754	627	160	280	604	1006	4	4	1	0
ygiN	425	537	332	287	343	515	245	548	6	15	6	3
ygiQ	316	359	928	879	280	377	638	1363	7	9	1	1
ygiS	70	86	146	111	60	110	102	308	0	2	1	0
ygiV	29	49	32	23	31	23	16	31	0	2	0	0
ygiW	235	318	113	92	166	368	78	149	4	7	1	2
ygiZ	6	6	6	1	3	2	3	3	0	0	0	0
ygjH	158	140	105	148	101	135	49	108	0	0	1	0
ygjI	49	32	55	55	44	45	33	79	0	0	0	0
ygjJ	6	8	20	19	6	8	9	24	0	0	0	0
ygjK	23	29	22	38	19	32	24	48	0	0	2	0
ygjP	34	44	54	57	33	37	51	97	0	0	0	0
ygjQ	7	9	8	5	1	13	6	10	0	0	0	0
ygjR	2137	2358	1136	1531	1810	2142	730	1176	17	28	9	3
ygjV	21	42	29	14	19	30	23	30	1	1	0	0
yhaB	1	4	2	4	6	6	5	5	0	0	0	0
yhaC	22	26	19	14	19	35	7	24	1	0	0	0
yhaH	173	185	73	66	150	190	39	109	0	2	2	0
yhaI	43	31	19	19	44	38	11	21	0	0	0	0
yhaJ	392	373	644	636	331	362	412	751	5	2	0	0
yhaK	59	73	63	81	36	61	51	100	0	0	0	0
yhaL	42	54	119	140	57	55	73	131	0	1	0	0
yhaV	529	594	360	355	776	898	349	441	1	6	1	2
yhbE	243	280	850	551	303	350	742	1051	6	7	1	4
yhbO	13	11	0	2	10	19	0	5	0	0	0	0
yhbP	263	302	342	316	199	270	144	320	3	0	1	3
yhbQ	46	53	66	59	34	53	51	125	1	0	1	0
yhbS	1296	1767	938	1257	936	1607	457	1584	50	50	13	11
yhbW	109	124	144	148	53	99	103	237	4	1	0	2
yhbX	38	40	49	53	55	54	32	89	0	0	0	0
yhbY	74	92	242	187	52	122	130	359	1	3	1	2
yhcA	5	2	4	1	1	0	1	11	0	0	0	0
yhcC	72	88	40	59	60	72	30	82	2	3	2	0
yhcD	91	127	116	97	76	117	64	137	1	1	0	0
yhcF	107	123	134	101	109	147	105	209	0	0	1	0
yhcG	21	18	31	25	20	25	25	46	2	0	0	0
yhcN	1411	1697	1136	905	954	1741	1657	3714	9	0	0	1
yhcO	190	182	39	28	178	178	32	36	0	0	0	0
yhdE	173	212	329	276	137	184	241	535	2	5	0	1
yhdH	893	1041	468	556	663	968	276	624	10	13	8	6
yhdJ	20	22	31	16	26	27	31	35	1	0	0	0
yhdN	27	31	48	38	28	32	29	114	0	0	0	1
yhdP	774	915	1258	1297	498	762	872	1760	9	18	6	1
yhdT	13	13	27	17	13	19	16	37	0	1	0	0
yhdU	11	5	16	13	8	5	12	24	0	0	0	0
yhdV	3	2	3	12	0	0	6	6	0	0	0	0
yhdW	48	63	14	11	60	72	15	23	0	0	0	0
yhdX	18	6	4	7	15	19	2	10	0	1	0	0
yhdY	25	28	11	10	27	30	8	23	0	0	0	0
yhdZ	46	42	27	30	36	58	19	49	0	0	0	0
yheO	510	694	556	555	336	593	333	803	3	10	3	2
yheS	325	406	526	509	202	427	399	1051	6	11	4	2
yheT	170	237	363	422	170	204	258	524	5	4	1	1
yheU	182	246	267	251	148	216	174	318	1	2	1	0
yheV	343	280	229	291	274	314	187	230	1	0	0	0
yhfA	566	631	389	472	414	555	281	668	6	10	3	2
yhfG	36	52	25	12	28	53	23	34	1	1	0	0
yhfK	3125	3738	3664	3866	2553	3466	1945	4857	51	54	13	13
yhfL	5	3	3	3	6	4	8	13	1	0	0	1
yhfS	42	45	35	41	43	50	28	66	0	0	0	0
yhfT	39	32	26	40	26	51	10	35	0	1	0	0
yhfU	15	18	17	26	20	18	11	14	2	0	0	0
yhfW	17	12	12	19	14	14	5	15	0	0	0	0
yhfX	18	19	19	27	15	14	8	14	1	0	0	0
yhfY	10	22	22	34	7	12	28	73	0	0	1	0
yhfZ	42	49	80	89	36	47	63	120	1	0	1	0
yhgE	312	318	320	278	265	338	217	365	3	3	1	0
yhgF	236	288	451	464	142	274	406	1166	11	15	5	5
yhgH	537	502	966	710	418	501	1727	1438	7	6	6	0
yhgN	79	78	106	98	59	78	76	156	2	0	1	0
yhgO	137	138	65	96	80	130	45	108	3	0	0	0
yhgP	116	99	44	74	68	91	31	93	3	0	0	0
yhhA	184	230	79	88	122	219	57	126	3	2	1	4
yhhH	55	74	53	46	56	77	55	50	0	0	0	0
yhhI	156	164	162	126	142	199	114	140	0	1	0	0
yhhJ	912	982	534	578	590	741	408	578	11	13	3	3
yhhL	36	30	59	42	19	27	37	70	0	3	1	0
yhhM	22	21	19	13	6	24	20	44	0	0	0	0
yhhN	259	257	201	179	228	292	83	268	4	1	6	2
yhhQ	96	131	165	141	85	112	103	174	2	2	1	0
yhhS	266	258	275	328	209	241	181	270	0	5	1	0
yhhT	326	382	109	115	238	331	84	85	1	1	0	1
yhhW	115	145	96	87	101	135	88	128	2	1	0	1
yhhX	199	297	155	130	147	252	117	269	8	6	3	3
yhhY	26	33	33	25	22	32	20	57	0	1	0	0
yhhZ	4	2	14	2	2	4	11	14	0	0	0	0
yhiD	12	5	7	1	10	7	2	8	2	0	0	0
yhiI	525	580	331	307	303	467	284	516	10	16	5	3
yhiJ	21	22	15	7	20	27	7	15	0	0	0	0
yhiL	11	9	33	12	38	14	37	42	0	0	0	0
yhiM	2	5	13	7	10	11	3	10	0	0	0	0
yhiN	178	203	171	142	100	198	131	289	5	4	0	3
yhiY	228	226	186	165	199	242	213	248	3	3	2	3
yhjB	15	30	12	10	14	21	17	28	0	0	0	0
yhjD	968	842	383	395	528	757	263	312	3	2	0	0
yhjE	143	159	202	195	104	108	185	152	2	0	0	0
yhjG	1988	1503	1628	1442	1362	1717	1053	2101	17	44	10	6
yhjJ	335	493	1026	844	249	448	586	1735	16	8	2	8
yhjR	49	73	42	27	50	43	66	43	0	0	0	0
yhjV	56	68	187	121	76	95	161	215	0	1	1	0
yhjX	84	96	43	48	68	63	34	35	1	0	0	0
yhjY	173	139	49	50	102	124	64	72	2	0	0	0
yiaA	16	10	15	7	18	26	12	20	0	0	0	0
yiaB	7	7	4	0	0	6	2	4	0	1	0	0
yiaC	183	181	97	113	118	162	68	164	2	0	0	1
yiaD	34	32	366	351	36	38	340	550	1	0	0	0
yiaF	318	418	312	276	254	351	246	462	10	10	1	1
yiaG	116	163	24	22	68	133	25	37	1	0	1	1
yiaK	10	7	5	9	5	12	7	18	0	0	0	0
yiaL	1	5	2	4	1	3	3	6	0	0	0	0
yiaM	3	7	7	1	2	5	5	8	1	0	0	0
yiaN	10	13	4	8	5	3	5	6	0	0	0	0
yiaO	18	17	8	12	14	17	9	15	0	0	0	1
yiaT	24	14	14	12	9	22	12	24	1	0	0	0
yiaU	38	46	49	44	18	34	33	95	0	1	0	0
yiaV	6	1	3	3	3	0	7	3	0	0	0	0
yiaW	4	0	1	0	3	6	1	1	0	0	0	0
yiaY	37	33	30	25	49	51	37	55	0	0	0	0
yibA	165	132	229	160	161	197	242	251	0	1	0	0
yibF	293	343	410	443	258	307	286	443	4	2	0	0
yibG	47	45	39	41	35	49	23	74	0	0	0	0
yibH	13	18	15	14	7	20	8	12	0	0	0	0
yibI	4	7	12	2	3	4	4	3	0	0	0	0
yibJ	32	56	63	68	40	46	48	95	1	0	0	0
yibL	625	676	1362	1611	622	834	1003	1550	5	3	4	0
yibN	120	186	410	264	124	179	261	564	6	5	0	0
yibQ	127	172	309	244	96	148	185	411	1	6	0	2
yibS	30	25	36	30	23	31	20	48	1	0	0	0
yibT	212	246	63	55	147	233	41	125	1	7	2	0
yibU	7	5	2	0	0	13	1	3	0	0	0	0
yibV	10	6	1	2	5	8	2	9	0	0	0	0
yibW	16	13	7	6	13	12	6	10	0	0	0	0
yibX	253	380	511	397	248	405	303	941	0	1	1	0
yibY	57	111	170	139	49	111	137	478	1	0	0	0
yicC	408	520	644	608	315	508	412	942	9	11	7	3
yicG	44	56	70	35	55	57	60	93	0	0	1	0
yicH	251	227	198	209	160	205	176	336	1	4	0	3
yicI	105	142	91	93	67	140	54	103	4	1	0	0
yicJ	51	40	46	37	39	46	39	38	1	0	1	0
yicL	415	387	353	303	337	396	196	313	3	1	0	0
yicN	90	107	116	80	58	88	66	122	4	2	1	0
yicR	86	110	119	74	66	72	81	160	0	6	0	5
yicS	18	7	12	7	19	23	11	16	0	0	0	1
yicT	0	0	0	0	0	0	0	0	0	0	0	0
yicU	5	4	8	6	7	5	6	10	0	0	0	0
yidA	161	212	197	178	113	202	117	352	8	4	1	2
yidB	6	8	10	10	5	8	11	17	0	0	1	0
yidC	621	735	1728	1234	452	681	1647	3492	20	29	13	9
yidD	130	132	405	233	97	149	308	756	10	11	0	1
yidE	783	779	471	548	570	686	339	597	9	10	2	5
yidF	293	353	332	358	260	312	242	423	6	3	2	4
yidG	120	160	208	172	129	156	143	236	1	3	0	2
yidH	46	37	53	64	34	54	39	107	1	1	0	0
yidI	542	416	359	295	466	433	258	248	1	0	0	0
yidJ	18	18	11	13	14	24	6	17	0	0	0	0
yidK	20	11	6	11	14	4	10	22	0	0	0	0
yidL	11	16	17	9	15	16	11	24	0	0	0	0
yidP	4	16	5	9	5	6	6	8	0	0	0	0
yidQ	230	284	192	197	144	222	112	313	6	5	5	0
yidR	111	127	110	111	85	108	77	170	5	0	0	0
yidX	11	16	39	21	9	20	23	45	0	0	0	0
yidZ	107	113	90	92	88	116	72	147	5	2	0	1
yieE	854	1260	948	1296	754	1235	692	1780	36	33	13	14
yieF	421	571	318	344	303	525	256	549	7	16	5	6
yieH	29	22	24	25	14	34	16	52	0	0	0	0
yieK	3	4	21	9	8	11	12	27	0	1	0	0
yieL	3	10	8	4	2	6	8	20	0	0	0	0
yieP	7105	7574	5632	6807	6844	8589	4817	8774	40	29	15	11
yifB	73	85	86	100	51	65	39	122	0	2	0	0
yifN	6	6	11	7	6	8	6	17	0	1	0	0
yigA	624	971	843	769	445	776	494	1436	24	22	10	5
yigB	260	406	366	390	226	301	253	594	3	8	3	2
yigE	1	6	3	1	3	2	7	2	0	0	0	0
yigF	4	12	4	2	3	10	4	18	0	0	0	0
yigG	2	5	9	4	6	4	9	15	0	0	2	0
yigI	27	27	69	36	16	28	66	73	0	0	0	0
yigL	1104	1340	934	910	869	1316	645	1419	10	16	2	1
yigZ	666	799	635	764	457	733	436	963	13	13	4	8
yihA	517	633	586	617	354	539	399	996	5	1	2	2
yihD	60	79	43	61	45	72	57	150	4	4	1	3
yihF	29	40	29	30	53	62	88	155	1	0	0	0
yihG	128	127	236	159	127	154	183	242	0	0	0	0
yihI	255	292	338	364	137	276	241	592	9	9	7	3
yihL	163	196	343	414	153	184	214	405	2	1	0	0
yihM	61	64	157	183	59	73	76	204	2	4	0	1
yihN	12	16	20	25	12	12	13	38	0	1	0	0
yihO	453	352	461	306	409	441	334	354	1	0	0	0
yihP	31	33	35	28	22	31	15	32	0	0	0	0
yihQ	7	10	4	5	0	15	3	12	0	0	0	0
yihR	2	11	5	3	4	6	1	6	0	0	0	0
yihS	57	75	17	17	27	57	13	32	2	1	0	1
yihT	44	50	12	19	21	39	8	31	1	3	0	0
yihU	13	5	6	7	3	4	4	6	1	1	0	0
yihV	62	74	50	74	46	72	34	54	0	0	1	0
yihX	4000	3630	2135	2715	3083	3510	1364	1871	10	11	8	4
yihY	3532	3144	2354	2450	2945	3449	1406	2073	17	14	5	2
yiiE	13	14	8	7	9	16	8	9	0	0	0	0
yiiF	12	10	6	14	11	16	9	20	0	1	0	0
yiiG	10	18	29	23	7	15	12	29	2	0	0	0
yiiM	127	154	103	140	112	130	84	125	6	5	0	0
yiiQ	31	32	70	36	31	48	53	106	1	1	0	0
yiiR	146	115	155	119	114	171	120	137	1	0	0	0
yiiS	134	134	49	46	101	152	45	114	7	5	4	1
yiiX	46	52	58	58	23	53	37	136	1	4	0	1
yijD	749	849	1009	832	605	781	604	1349	8	14	4	4
yijE	322	346	231	181	249	300	120	341	4	5	1	1
yijF	15	13	8	7	10	7	5	19	0	1	0	0
yijO	29	29	26	51	18	31	27	67	1	2	0	2
yjaA	7	8	10	7	14	13	84	148	0	0	1	0
yjaB	64	50	37	37	49	44	30	50	0	1	0	0
yjaG	156	216	165	167	134	195	148	306	2	1	1	0
yjaH	256	258	234	248	194	280	225	440	7	10	3	2
yjaZ	52	42	47	45	34	55	41	53	0	0	0	0
yjbB	2904	2964	2329	3005	2372	3193	1245	2492	10	5	4	3
yjbD	188	241	183	181	169	231	99	253	6	0	6	3
yjbE	0	1	0	2	1	0	2	1	0	0	0	0
yjbF	1	1	4	2	0	0	2	7	0	0	0	0
yjbG	0	5	4	4	1	1	5	6	0	0	0	0
yjbH	22	21	27	16	13	15	12	28	0	1	0	0
yjbI	32	42	13	4	39	56	16	19	0	0	0	0
yjbJ	178	213	51	52	121	223	64	72	1	3	2	1
yjbL	0	0	1	2	1	0	1	2	0	0	0	0
yjbM	22	28	21	16	28	29	23	40	0	0	0	0
yjbQ	189	331	252	246	157	251	178	550	15	10	5	7
yjbR	334	450	330	367	257	343	240	467	6	10	4	3
yjbS	0	0	1	0	0	0	1	1	0	0	0	0
yjbT	8	3	9	7	3	6	11	4	0	0	0	0
yjcB	56	51	50	38	33	64	70	96	0	1	0	0
yjcE	745	745	750	867	515	637	453	920	4	7	5	6
yjcF	2	4	7	0	3	6	1	5	0	0	0	0
yjcH	390	309	84	69	128	150	65	105	0	0	0	0
yjcO	62	79	120	106	47	120	87	205	2	1	1	0
yjcS	2	1	2	7	1	0	0	6	0	0	0	0
yjdF	52	60	94	85	34	69	63	85	1	0	1	1
yjdI	48	46	10	10	27	48	15	11	0	1	1	1
yjdJ	62	83	6	13	28	73	17	17	1	1	2	0
yjdM	140	170	317	296	156	211	246	577	5	4	1	0
yjdN	16	14	5	4	6	17	5	10	0	0	1	1
yjdP	75	66	118	145	54	59	64	123	0	0	0	0
yjdQ	2	5	11	9	9	12	6	9	0	0	0	0
yjeH	128	138	141	109	130	145	91	136	2	2	2	0
yjeI	328	399	234	233	267	363	278	409	5	6	2	3
yjeJ	4	2	1	1	3	2	8	10	0	0	0	0
yjeM	93	101	85	69	84	87	62	125	1	0	0	0
yjeN	16	20	10	20	9	13	16	16	0	0	0	0
yjeO	76	81	73	76	62	83	44	85	1	1	0	0
yjeT	39	35	48	49	25	52	30	57	0	0	0	1
yjeV	14	10	7	3	4	9	6	10	0	0	0	0
yjfC	10	19	20	15	18	23	14	27	0	0	0	0
yjfF	525	519	237	247	387	507	150	227	4	3	0	1
yjfI	5	3	3	2	3	8	3	3	0	0	0	0
yjfJ	25	21	18	11	18	27	25	19	0	0	0	0
yjfK	11	7	10	7	12	12	10	15	0	0	0	0
yjfL	2	5	7	3	7	8	10	10	0	0	0	0
yjfM	19	14	10	15	11	13	12	15	0	0	0	0
yjfN	393	733	183	258	289	527	118	379	9	25	4	3
yjfP	181	229	150	174	151	189	74	134	0	2	0	1
yjfY	59	64	31	21	48	85	29	78	0	0	0	0
yjfZ	2	2	5	2	2	4	3	13	0	0	0	0
yjgA	394	388	456	449	241	356	333	653	2	3	2	2
yjgH	27	34	31	25	14	41	25	43	0	0	0	0
yjgL	125	142	150	91	157	190	128	149	0	0	2	0
yjgM	19	19	38	19	6	22	19	43	0	0	0	0
yjgN	5	7	9	3	5	7	13	8	0	0	0	0
yjgR	234	267	159	143	126	246	116	232	1	6	3	0
yjgW	5	12	10	7	5	9	8	32	2	0	0	0
yjgX	251	346	362	236	239	367	305	834	8	14	3	6
yjgZ	4	6	3	5	12	4	6	9	0	0	0	0
yjhD	7	4	8	4	4	6	4	12	0	1	0	0
yjhE	2	5	2	1	2	2	3	5	0	2	0	0
yjhF	32	23	42	33	35	51	21	46	0	0	1	0
yjhG	220	300	179	175	169	294	110	257	3	6	3	3
yjhH	176	188	101	93	133	225	59	153	2	3	0	0
yjhI	170	155	92	87	169	203	52	137	0	0	0	0
yjhP	40	72	37	32	31	76	24	60	1	3	1	0
yjhQ	33	57	33	33	29	50	18	86	0	3	1	0
yjhR	7	13	9	14	15	18	8	23	0	0	0	0
yjhU	2037	2184	1962	2356	1484	2055	1171	2424	11	14	5	5
yjhV	9	6	13	2	4	13	7	11	0	0	0	0
yjhW	4	6	8	4	2	5	7	11	0	0	0	0
yjhY	11	33	29	28	18	44	30	60	1	0	0	0
yjhZ	4	2	4	2	1	0	1	2	0	0	0	0
yjiA	349	281	244	254	188	254	172	405	7	12	3	1
yjiC	0	2	2	0	2	3	0	3	0	0	0	0
yjiG	6	4	14	11	2	10	10	19	0	0	0	0
yjiH	36	36	76	57	32	38	28	44	0	0	0	0
yjiJ	74	75	67	56	74	83	55	54	0	1	0	0
yjiK	28	31	51	35	37	42	38	43	1	0	0	0
yjiL	109	93	32	81	97	104	29	65	2	4	1	1
yjiM	301	344	172	230	278	312	72	167	6	6	3	2
yjiN	83	92	51	50	55	70	24	88	0	3	0	0
yjiR	28	22	38	29	9	20	37	83	0	1	0	1
yjiS	1	0	0	1	0	1	1	1	0	0	0	0
yjiT	2152	2196	1066	1038	1515	2180	663	1398	10	18	3	4
yjiV	507	611	324	295	395	630	209	481	2	5	2	2
yjiX	104	85	88	85	61	87	75	167	2	3	2	1
yjjA	83	129	141	110	82	128	127	267	0	3	1	0
yjjB	14	24	14	6	13	27	3	11	0	0	0	1
yjjG	221	279	234	168	151	236	187	315	2	5	3	1
yjjI	3494	4326	1154	1595	2588	3648	553	1642	72	104	23	17
yjjP	135	137	105	82	107	126	64	151	0	3	2	1
yjjQ	4	3	7	4	3	3	4	6	0	0	0	0
yjjU	181	218	172	149	119	167	148	230	0	2	0	1
yjjV	119	161	106	133	91	115	90	194	3	4	0	0
yjjW	786	1005	292	452	638	904	103	370	12	23	7	2
yjjX	60	64	67	67	59	57	60	84	2	0	0	0
yjjY	30	54	57	33	25	46	38	83	2	1	0	0
yjjZ	28	23	52	33	28	27	27	33	0	0	0	1
yjtD	558	705	716	652	456	722	446	908	3	2	0	0
ykfA	159	208	164	129	152	214	84	184	1	4	1	1
ykfB	2366	2242	1907	1743	1872	2552	927	2209	11	9	2	1
ykfC	50	55	50	35	35	55	31	103	0	0	0	0
ykfF	5	6	8	4	6	4	3	13	1	0	0	0
ykfG	0	1	0	0	0	1	3	1	0	0	0	0
ykfH	0	0	0	0	0	0	2	0	0	0	0	0
ykfI	1	3	3	1	0	2	0	2	0	0	0	0
ykfJ	3	1	6	3	1	3	5	1	0	0	0	0
ykfK	0	3	1	2	0	0	0	3	0	0	0	0
ykfL	39	36	25	25	29	28	18	32	0	0	0	0
ykfM	11	13	18	9	11	19	22	32	0	0	0	0
ykfN	0	0	0	1	0	1	0	1	0	0	0	0
ykfO	4	1	2	5	2	6	7	12	0	0	0	0
ykgA	62	69	74	58	52	77	47	82	1	0	0	0
ykgE	2075	2844	1697	2806	1969	2836	749	1545	20	18	6	9
ykgF	3431	5108	2733	4123	3127	4745	1222	2590	48	53	21	14
ykgG	595	1005	520	680	613	978	242	596	13	10	3	2
ykgH	17	13	59	43	14	11	42	57	0	0	0	0
ykgJ	3	7	21	10	10	10	10	26	0	1	0	0
ykgL	16	17	13	13	6	11	11	30	0	0	0	0
ykgM	6	2	4	4	4	8	2	8	0	0	0	0
ykgO	7	2	0	1	1	2	0	3	0	0	0	0
ykgP	0	0	0	0	0	0	0	0	0	0	0	0
ykgQ	0	0	0	0	0	0	0	1	0	0	0	0
ykgR	26	27	8	6	30	43	7	24	0	0	0	0
ykgS	8	14	7	7	6	6	15	12	0	1	0	0
ykgV	3	3	5	9	5	7	8	17	0	0	0	0
ykiA	15	25	22	20	16	31	14	31	0	0	0	0
ykiC	0	0	0	0	0	0	0	0	0	0	0	0
ykiD	5	11	12	5	1	6	1	12	0	0	0	0
ykiE	43	43	55	45	46	55	37	62	0	1	0	0
ylaC	424	469	949	739	335	480	641	1301	4	1	2	1
ylbE	17	17	18	20	9	11	9	21	0	0	0	1
ylbF	19	28	24	34	15	27	17	19	0	0	0	0
ylbG	4	4	7	4	1	4	3	15	0	0	0	0
ylbH	48	38	88	77	36	36	48	74	0	0	0	0
ylbI	2	2	2	1	2	3	4	1	0	0	0	0
ylcG	1	2	2	1	2	1	0	3	0	0	0	0
ylcH	0	0	1	3	3	0	3	3	0	0	0	0
ylcI	40	36	50	26	64	42	45	59	0	0	0	0
ylcJ	4	1	5	1	3	6	8	9	0	0	0	0
yldA	4	5	2	3	4	3	1	2	0	0	0	0
yliI	237	250	125	152	215	266	144	328	1	10	1	0
yliM	45	91	183	107	34	96	107	431	2	0	0	0
yljB	19	16	19	30	9	25	18	31	0	0	0	0
ymcE	333	508	716	487	418	612	457	907	8	17	2	2
ymcF	1465	2003	2658	1755	1436	1842	1886	2857	30	38	8	15
ymdA	73	67	289	224	43	77	267	435	0	0	0	0
ymdB	207	269	416	401	138	268	291	754	6	5	0	1
ymdE	0	0	0	0	1	1	0	2	0	0	0	0
ymdF	34	38	28	35	29	33	35	43	0	0	0	0
ymdG	35	28	94	67	31	32	77	124	0	0	0	0
ymfA	7	14	60	40	15	17	36	106	2	0	0	0
ymfD	165	172	308	240	176	220	240	385	2	0	0	0
ymfE	223	211	375	310	219	254	274	465	0	0	0	0
ymfH	521	492	668	387	501	514	335	461	1	1	1	0
ymfI	38	54	77	50	48	66	73	124	0	2	1	0
ymfJ	6	7	27	13	7	22	15	18	0	0	0	0
ymfK	98	127	248	177	80	131	191	523	0	0	2	1
ymfL	8	10	9	15	11	14	16	21	0	0	0	0
ymfM	12	9	7	3	7	8	8	9	0	0	0	0
ymfN	18	20	18	20	7	18	10	30	0	0	0	0
ymfQ	3	2	1	2	1	1	0	0	0	0	0	0
ymfR	3	3	3	1	2	6	3	6	0	0	0	0
ymfT	2	3	4	1	1	1	1	3	0	0	0	0
ymgA	49	74	14	11	41	86	19	22	0	0	0	0
ymgC	2	3	3	0	2	2	9	2	0	0	0	0
ymgD	12	20	48	34	13	42	64	51	0	0	0	0
ymgE	177	157	24	16	93	156	25	22	0	0	0	0
ymgF	7	4	2	0	9	9	7	6	0	0	0	0
ymgG	0	8	30	25	4	18	36	33	0	0	0	0
ymgI	1	3	4	3	0	5	8	11	0	0	0	0
ymgJ	0	1	0	1	0	1	0	0	0	0	0	0
ymgK	0	0	0	0	0	0	0	0	0	0	0	0
ymgL	0	0	2	0	0	1	0	1	0	0	0	0
ymgM	5	10	37	22	3	5	31	55	0	0	0	0
ymgN	5	9	10	9	5	10	14	10	0	0	0	0
ymiA	105	135	73	53	109	165	68	165	1	4	3	0
ymiB	2	1	3	0	1	2	1	2	0	0	0	0
ymiC	122	148	60	32	94	163	95	124	3	0	0	0
ymiD	4	3	3	3	0	6	9	11	0	0	0	0
ymjA	27	42	50	34	21	24	33	104	0	1	0	1
ymjB	2	1	0	3	0	1	0	0	0	0	0	0
ymjC	4	12	9	8	4	11	5	18	0	0	0	0
ymjD	0	3	0	0	0	1	0	0	0	0	0	0
ymjE	4	4	1	2	3	4	2	2	0	0	0	0
ynaA	65	53	64	69	53	65	81	88	2	0	1	0
ynaE	737	1292	1545	1098	835	1628	1331	3017	8	5	2	0
ynaI	21	21	25	24	25	29	26	45	0	1	0	0
ynaJ	98	105	165	144	85	138	158	240	2	2	2	4
ynaK	5	9	11	4	3	6	5	21	0	0	0	0
ynaL	16	26	4	5	11	30	8	5	0	0	0	0
ynaM	80	168	229	131	97	228	309	733	3	0	0	0
ynaN	10	19	24	27	13	16	18	35	0	0	0	0
ynbA	3	4	9	4	4	6	3	7	0	0	0	0
ynbB	2	1	2	3	3	3	0	5	0	0	0	0
ynbC	46	60	31	49	46	47	35	58	0	0	0	0
ynbD	125	158	150	163	123	136	98	153	4	1	0	0
ynbE	179	216	357	282	203	227	180	302	0	2	2	0
ynbG	0	0	0	0	0	0	0	0	0	0	0	0
yncE	693	688	4220	4435	261	386	3048	10664	21	0	1	5
yncG	15	26	19	15	8	21	7	21	1	0	0	0
yncH	2	0	1	1	2	1	0	1	0	0	0	0
yncI	81	73	200	176	93	100	146	168	0	0	0	0
yncJ	6	5	4	7	12	10	36	54	0	0	0	0
yncK	3	3	3	2	3	2	5	5	0	0	0	0
yncL	1120	1018	606	306	1183	1109	364	502	4	0	1	0
yncO	0	1	0	0	0	0	1	2	0	0	0	0
yncP	52	53	99	56	49	55	61	149	0	0	0	1
yneE	25	27	53	25	32	23	38	62	0	0	0	0
yneG	30	44	83	60	24	40	47	107	1	1	0	0
yneK	2	9	7	10	7	9	10	19	0	0	0	0
yneL	3	6	6	3	6	5	1	9	0	2	0	0
yneO	245	347	198	205	196	319	109	290	6	4	3	0
yneP	2	3	4	3	2	5	9	6	0	0	0	0
ynfA	39	25	56	72	29	32	42	63	0	0	0	0
ynfB	130	213	218	180	123	220	156	482	5	4	1	1
ynfC	243	235	225	236	200	240	128	282	0	1	3	2
ynfD	40	77	17	6	32	37	33	49	6	3	2	3
ynfE	2467	3592	671	893	2015	3707	373	1133	55	164	18	33
ynfF	1891	3159	397	510	2034	3838	213	801	126	203	54	43
ynfG	138	280	40	54	208	423	29	87	17	32	9	4
ynfH	374	532	274	238	527	789	195	315	31	28	4	4
ynfL	52	58	41	47	29	59	29	72	6	2	0	0
ynfM	128	116	240	173	100	116	163	253	1	2	2	0
ynfN	148	194	150	130	186	279	107	210	0	1	0	0
ynfO	32	17	25	16	17	36	15	24	0	0	0	0
ynfP	1	2	4	8	0	2	3	2	0	0	0	0
ynfQ	56	94	83	43	66	134	68	201	1	1	1	0
ynfR	17	25	31	9	21	45	18	42	0	0	1	0
ynfS	293	499	866	469	307	489	381	1301	6	1	1	1
ynfT	98	196	206	120	121	294	259	546	3	1	2	0
ynfU	13	17	33	14	13	20	29	83	1	0	0	0
ynhH	62	89	65	53	59	95	51	115	4	4	1	0
yniA	566	738	227	314	381	612	131	449	19	20	9	6
yniB	170	187	237	189	150	166	209	272	2	1	0	1
yniD	12	5	11	3	5	8	5	10	0	0	0	0
ynjA	97	104	145	116	94	110	112	134	1	2	0	0
ynjB	150	211	201	203	146	181	108	215	2	5	0	3
ynjC	74	119	106	97	71	97	84	146	2	3	1	0
